wordspace;categoria;qtde_total;qtde_analisada;qtde_fora_dicionario;qtde_fora_ranking;mse;rmsd
./wordspaces/text8_10200000_cbow_context-4.bin;gram9-plural-verbs;870;799;0;71;0.009091;0.095345
./wordspaces/text8_10200000_cbow_context-4.bin;TOTAL;19544;14229;4098;1217;0.007303;0.085456
./wordspaces/text8_10200000_skip-gram_context-4.bin;capital-common-countries;506;505;0;1;0.001533;0.039155
./wordspaces/text8_10200000_skip-gram_context-4.bin;capital-world;4524;2299;2049;176;0.005380;0.073345
./wordspaces/text8_10200000_skip-gram_context-4.bin;currency;866;221;528;117;0.011496;0.107218
./wordspaces/text8_10200000_skip-gram_context-4.bin;city-in-state;2467;1829;403;235;0.005842;0.076432
./wordspaces/text8_10200000_skip-gram_context-4.bin;family;506;358;126;22;0.002330;0.048269
./wordspaces/text8_10200000_skip-gram_context-4.bin;gram1-adjective-to-adverb;992;580;62;350;0.008160;0.090335
./wordspaces/text8_10200000_skip-gram_context-4.bin;gram2-opposite;812;411;212;189;0.009040;0.095081
./wordspaces/text8_10200000_skip-gram_context-4.bin;gram3-comparative;1332;1277;0;55;0.002948;0.054293
./wordspaces/text8_10200000_skip-gram_context-4.bin;gram4-superlative;1122;668;420;34;0.005660;0.075231
./wordspaces/text8_10200000_skip-gram_context-4.bin;gram5-present-participle;1056;915;0;141;0.007682;0.087647
./wordspaces/text8_10200000_skip-gram_context-4.bin;gram6-nationality-adjective;1599;1500;78;21;0.002262;0.047560
./wordspaces/text8_10200000_skip-gram_context-4.bin;gram7-past-tense;1560;1302;78;180;0.005798;0.076143
./wordspaces/text8_10200000_skip-gram_context-4.bin;gram8-plural;1332;1097;142;93;0.004663;0.068285
./wordspaces/text8_10200000_skip-gram_context-4.bin;gram9-plural-verbs;870;739;0;131;0.006245;0.079023
./wordspaces/text8_10200000_skip-gram_context-4.bin;TOTAL;19544;13701;4098;1745;0.005174;0.071934
./wordspaces/text8_10200000_cbow_context-6.bin;capital-common-countries;506;506;0;0;0.002140;0.046255
./wordspaces/text8_10200000_cbow_context-6.bin;capital-world;4524;2420;2049;55;0.005896;0.076788
./wordspaces/text8_10200000_cbow_context-6.bin;currency;866;232;528;106;0.017421;0.131989
./wordspaces/text8_10200000_cbow_context-6.bin;city-in-state;2467;1872;403;192;0.008691;0.093223
./wordspaces/text8_10200000_cbow_context-6.bin;family;506;360;126;20;0.003867;0.062186
./wordspaces/text8_10200000_cbow_context-6.bin;gram1-adjective-to-adverb;992;665;62;265;0.013144;0.114648
./wordspaces/text8_10200000_cbow_context-6.bin;gram2-opposite;812;420;212;180;0.014873;0.121956
./wordspaces/text8_10200000_cbow_context-6.bin;gram3-comparative;1332;1317;0;15;0.003588;0.059901
./wordspaces/text8_10200000_cbow_context-6.bin;gram4-superlative;1122;681;420;21;0.007530;0.086774
./wordspaces/text8_10200000_cbow_context-6.bin;gram5-present-participle;1056;980;0;76;0.007578;0.087052
./wordspaces/text8_10200000_cbow_context-6.bin;gram6-nationality-adjective;1599;1496;78;25;0.003653;0.060444
./wordspaces/text8_10200000_cbow_context-6.bin;gram7-past-tense;1560;1396;78;86;0.007272;0.085275
./wordspaces/text8_10200000_cbow_context-6.bin;gram8-plural;1332;1174;142;16;0.005631;0.075040
./wordspaces/text8_10200000_cbow_context-6.bin;gram9-plural-verbs;870;806;0;64;0.009206;0.095948
./wordspaces/text8_10200000_cbow_context-6.bin;TOTAL;19544;14325;4098;1121;0.006909;0.083120
./wordspaces/text8_10200000_skip-gram_context-6.bin;capital-common-countries;506;506;0;0;0.000917;0.030274
./wordspaces/text8_10200000_skip-gram_context-6.bin;capital-world;4524;2391;2049;84;0.004386;0.066227
./wordspaces/text8_10200000_skip-gram_context-6.bin;currency;866;239;528;99;0.011540;0.107423
./wordspaces/text8_10200000_skip-gram_context-6.bin;city-in-state;2467;1900;403;164;0.004554;0.067485
./wordspaces/text8_10200000_skip-gram_context-6.bin;family;506;359;126;21;0.003129;0.055942
./wordspaces/text8_10200000_skip-gram_context-6.bin;gram1-adjective-to-adverb;992;648;62;282;0.008640;0.092951
./wordspaces/text8_10200000_skip-gram_context-6.bin;gram2-opposite;812;402;212;198;0.009056;0.095164
./wordspaces/text8_10200000_skip-gram_context-6.bin;gram3-comparative;1332;1269;0;63;0.003298;0.057425
./wordspaces/text8_10200000_skip-gram_context-6.bin;gram4-superlative;1122;642;420;60;0.007604;0.087199
./wordspaces/text8_10200000_skip-gram_context-6.bin;gram5-present-participle;1056;920;0;136;0.008104;0.090020
./wordspaces/text8_10200000_skip-gram_context-6.bin;gram6-nationality-adjective;1599;1511;78;10;0.002179;0.046680
./wordspaces/text8_10200000_skip-gram_context-6.bin;gram7-past-tense;1560;1339;78;143;0.005428;0.073677
./wordspaces/text8_10200000_skip-gram_context-6.bin;gram8-plural;1332;1144;142;46;0.005024;0.070879
./wordspaces/text8_10200000_skip-gram_context-6.bin;gram9-plural-verbs;870;764;0;106;0.006665;0.081638
./wordspaces/text8_10200000_skip-gram_context-6.bin;TOTAL;19544;14034;4098;1412;0.005034;0.070950
./wordspaces/text8_10200000_cbow_context-8.bin;capital-common-countries;506;506;0;0;0.001472;0.038363
./wordspaces/text8_10200000_cbow_context-8.bin;capital-world;4524;2443;2049;32;0.004896;0.069974
./wordspaces/text8_10200000_cbow_context-8.bin;currency;866;232;528;106;0.020540;0.143319
./wordspaces/text8_10200000_cbow_context-8.bin;city-in-state;2467;1888;403;176;0.007740;0.087976
./wordspaces/text8_10200000_cbow_context-8.bin;family;506;358;126;22;0.004761;0.068998
./wordspaces/text8_10200000_cbow_context-8.bin;gram1-adjective-to-adverb;992;643;62;287;0.013217;0.114966
./wordspaces/text8_10200000_cbow_context-8.bin;gram2-opposite;812;408;212;192;0.014632;0.120965
./wordspaces/text8_10200000_cbow_context-8.bin;gram3-comparative;1332;1319;0;13;0.004652;0.068205
./wordspaces/text8_10200000_cbow_context-8.bin;gram4-superlative;1122;662;420;40;0.007005;0.083698
./wordspaces/text8_10200000_cbow_context-8.bin;gram5-present-participle;1056;993;0;63;0.008097;0.089985
./wordspaces/text8_10200000_cbow_context-8.bin;gram6-nationality-adjective;1599;1503;78;18;0.003752;0.061257
./wordspaces/text8_10200000_cbow_context-8.bin;gram7-past-tense;1560;1405;78;77;0.008865;0.094155
./wordspaces/text8_10200000_cbow_context-8.bin;gram8-plural;1332;1180;142;10;0.006410;0.080063
./wordspaces/text8_10200000_cbow_context-8.bin;gram9-plural-verbs;870;790;0;80;0.010601;0.102963
./wordspaces/text8_10200000_cbow_context-8.bin;TOTAL;19544;14330;4098;1116;0.007056;0.083997
./wordspaces/text8_10200000_skip-gram_context-8.bin;capital-common-countries;506;506;0;0;0.000549;0.023420
./wordspaces/text8_10200000_skip-gram_context-8.bin;capital-world;4524;2426;2049;49;0.003770;0.061404
./wordspaces/text8_10200000_skip-gram_context-8.bin;currency;866;250;528;88;0.012448;0.111569
./wordspaces/text8_10200000_skip-gram_context-8.bin;city-in-state;2467;1922;403;142;0.003584;0.059864
./wordspaces/text8_10200000_skip-gram_context-8.bin;family;506;359;126;21;0.003876;0.062254
./wordspaces/text8_10200000_skip-gram_context-8.bin;gram1-adjective-to-adverb;992;695;62;235;0.008321;0.091218
./wordspaces/text8_10200000_skip-gram_context-8.bin;gram2-opposite;812;405;212;195;0.010203;0.101010
./wordspaces/text8_10200000_skip-gram_context-8.bin;gram3-comparative;1332;1249;0;83;0.003610;0.060080
./wordspaces/text8_10200000_skip-gram_context-8.bin;gram4-superlative;1122;652;420;50;0.008462;0.091986
./wordspaces/text8_10200000_skip-gram_context-8.bin;gram5-present-participle;1056;915;0;141;0.008599;0.092732
./wordspaces/text8_10200000_skip-gram_context-8.bin;gram6-nationality-adjective;1599;1510;78;11;0.002389;0.048881
./wordspaces/text8_10200000_skip-gram_context-8.bin;gram7-past-tense;1560;1337;78;145;0.005993;0.077413
./wordspaces/text8_10200000_skip-gram_context-8.bin;gram8-plural;1332;1139;142;51;0.005177;0.071950
./wordspaces/text8_10200000_skip-gram_context-8.bin;gram9-plural-verbs;870;763;0;107;0.007812;0.088386
./wordspaces/text8_10200000_skip-gram_context-8.bin;TOTAL;19544;14128;4098;1318;0.005103;0.071438
./wordspaces/text8_10200000_cbow_context-10.bin;capital-common-countries;506;506;0;0;0.002324;0.048208
./wordspaces/text8_10200000_cbow_context-10.bin;capital-world;4524;2419;2049;56;0.004869;0.069779
./wordspaces/text8_10200000_cbow_context-10.bin;currency;866;222;528;116;0.018077;0.134449
./wordspaces/text8_10200000_cbow_context-10.bin;city-in-state;2467;1872;403;192;0.008264;0.090907
./wordspaces/text8_10200000_cbow_context-10.bin;family;506;358;126;22;0.003684;0.060693
./wordspaces/text8_10200000_cbow_context-10.bin;gram1-adjective-to-adverb;992;687;62;243;0.012971;0.113892
./wordspaces/text8_10200000_cbow_context-10.bin;gram2-opposite;812;374;212;226;0.015006;0.122498
./wordspaces/text8_10200000_cbow_context-10.bin;gram3-comparative;1332;1320;0;12;0.003959;0.062921
./wordspaces/text8_10200000_cbow_context-10.bin;gram4-superlative;1122;665;420;37;0.008509;0.092246
./wordspaces/text8_10200000_cbow_context-10.bin;gram5-present-participle;1056;973;0;83;0.007831;0.088493
./wordspaces/text8_10200000_cbow_context-10.bin;gram6-nationality-adjective;1599;1507;78;14;0.004782;0.069150
./wordspaces/text8_10200000_cbow_context-10.bin;gram7-past-tense;1560;1378;78;104;0.008049;0.089716
./wordspaces/text8_10200000_cbow_context-10.bin;gram8-plural;1332;1177;142;13;0.005278;0.072649
./wordspaces/text8_10200000_cbow_context-10.bin;gram9-plural-verbs;870;787;0;83;0.009940;0.099699
./wordspaces/text8_10200000_cbow_context-10.bin;TOTAL;19544;14245;4098;1201;0.006958;0.083414
./wordspaces/text8_10200000_skip-gram_context-10.bin;capital-common-countries;506;506;0;0;0.000327;0.018097
./wordspaces/text8_10200000_skip-gram_context-10.bin;capital-world;4524;2437;2049;38;0.003133;0.055972
./wordspaces/text8_10200000_skip-gram_context-10.bin;currency;866;241;528;97;0.013829;0.117597
./wordspaces/text8_10200000_skip-gram_context-10.bin;city-in-state;2467;1949;403;115;0.004323;0.065752
./wordspaces/text8_10200000_skip-gram_context-10.bin;family;506;356;126;24;0.005142;0.071709
./wordspaces/text8_10200000_skip-gram_context-10.bin;gram1-adjective-to-adverb;992;708;62;222;0.008957;0.094640
./wordspaces/text8_10200000_skip-gram_context-10.bin;gram2-opposite;812;400;212;200;0.010801;0.103929
./wordspaces/text8_10200000_skip-gram_context-10.bin;gram3-comparative;1332;1232;0;100;0.004807;0.069335
./wordspaces/text8_10200000_skip-gram_context-10.bin;gram4-superlative;1122;632;420;70;0.009456;0.097244
./wordspaces/text8_10200000_skip-gram_context-10.bin;gram5-present-participle;1056;923;0;133;0.008654;0.093024
./wordspaces/text8_10200000_skip-gram_context-10.bin;gram6-nationality-adjective;1599;1513;78;8;0.002941;0.054233
./wordspaces/text8_10200000_skip-gram_context-10.bin;gram7-past-tense;1560;1355;78;127;0.006098;0.078087
./wordspaces/text8_10200000_skip-gram_context-10.bin;gram8-plural;1332;1117;142;73;0.005523;0.074314
./wordspaces/text8_10200000_skip-gram_context-10.bin;gram9-plural-verbs;870;773;0;97;0.007698;0.087737
./wordspaces/text8_10200000_skip-gram_context-10.bin;TOTAL;19544;14142;4098;1304;0.005428;0.073678
./wordspaces/text8_10200000_cbow_context-12.bin;capital-common-countries;506;506;0;0;0.001599;0.039990
./wordspaces/text8_10200000_cbow_context-12.bin;capital-world;4524;2441;2049;34;0.004371;0.066113
./wordspaces/text8_10200000_cbow_context-12.bin;currency;866;229;528;109;0.019782;0.140649
./wordspaces/text8_10200000_cbow_context-12.bin;city-in-state;2467;1867;403;197;0.007145;0.084531
./wordspaces/text8_10200000_cbow_context-12.bin;family;506;344;126;36;0.004648;0.068176
./wordspaces/text8_10200000_cbow_context-12.bin;gram1-adjective-to-adverb;992;662;62;268;0.013910;0.117942
./wordspaces/text8_10200000_cbow_context-12.bin;gram2-opposite;812;409;212;191;0.015399;0.124092
./wordspaces/text8_10200000_cbow_context-12.bin;gram3-comparative;1332;1318;0;14;0.004582;0.067688
./wordspaces/text8_10200000_cbow_context-12.bin;gram4-superlative;1122;674;420;28;0.008294;0.091072
./wordspaces/text8_10200000_cbow_context-12.bin;gram5-present-participle;1056;976;0;80;0.008258;0.090871
./wordspaces/text8_10200000_cbow_context-12.bin;gram6-nationality-adjective;1599;1506;78;15;0.004553;0.067478
./wordspaces/text8_10200000_cbow_context-12.bin;gram7-past-tense;1560;1352;78;130;0.009750;0.098743
./wordspaces/text8_10200000_cbow_context-12.bin;gram8-plural;1332;1176;142;14;0.005232;0.072332
./wordspaces/text8_10200000_cbow_context-12.bin;gram9-plural-verbs;870;789;0;81;0.009902;0.099510
./wordspaces/text8_10200000_cbow_context-12.bin;TOTAL;19544;14249;4098;1197;0.007028;0.083836
./wordspaces/text8_10200000_skip-gram_context-12.bin;capital-common-countries;506;506;0;0;0.000387;0.019682
./wordspaces/text8_10200000_skip-gram_context-12.bin;capital-world;4524;2457;2049;18;0.002540;0.050398
./wordspaces/text8_10200000_skip-gram_context-12.bin;currency;866;253;528;85;0.013126;0.114569
./wordspaces/text8_10200000_skip-gram_context-12.bin;city-in-state;2467;1910;403;154;0.002784;0.052763
./wordspaces/text8_10200000_skip-gram_context-12.bin;family;506;360;126;20;0.005459;0.073885
./wordspaces/text8_10200000_skip-gram_context-12.bin;gram1-adjective-to-adverb;992;721;62;209;0.008828;0.093956
./wordspaces/text8_10200000_skip-gram_context-12.bin;gram2-opposite;812;394;212;206;0.010798;0.103912
./wordspaces/text8_10200000_skip-gram_context-12.bin;gram3-comparative;1332;1239;0;93;0.005028;0.070907
./wordspaces/text8_10200000_skip-gram_context-12.bin;gram4-superlative;1122;642;420;60;0.011435;0.106936
./wordspaces/text8_10200000_skip-gram_context-12.bin;gram5-present-participle;1056;923;0;133;0.008975;0.094736
./wordspaces/text8_10200000_skip-gram_context-12.bin;gram6-nationality-adjective;1599;1519;78;2;0.002679;0.051759
./wordspaces/text8_10200000_skip-gram_context-12.bin;gram7-past-tense;1560;1347;78;135;0.006562;0.081005
./wordspaces/text8_10200000_skip-gram_context-12.bin;gram8-plural;1332;1154;142;36;0.005000;0.070712
./wordspaces/text8_10200000_skip-gram_context-12.bin;gram9-plural-verbs;870;771;0;99;0.009264;0.096250
./wordspaces/text8_10200000_skip-gram_context-12.bin;TOTAL;19544;14196;4098;1250;0.005307;0.072848
./wordspaces/text8_10200000_cbow_context-14.bin;capital-common-countries;506;506;0;0;0.001716;0.041422
./wordspaces/text8_10200000_cbow_context-14.bin;capital-world;4524;2454;2049;21;0.004715;0.068666
./wordspaces/text8_10200000_cbow_context-14.bin;currency;866;222;528;116;0.020850;0.144395
./wordspaces/text8_10200000_cbow_context-14.bin;city-in-state;2467;1888;403;176;0.007092;0.084215
./wordspaces/text8_10200000_cbow_context-14.bin;family;506;361;126;19;0.003168;0.056288
./wordspaces/text8_10200000_cbow_context-14.bin;gram1-adjective-to-adverb;992;635;62;295;0.014778;0.121564
./wordspaces/text8_10200000_cbow_context-14.bin;gram2-opposite;812;390;212;210;0.014659;0.121076
./wordspaces/text8_10200000_cbow_context-14.bin;gram3-comparative;1332;1307;0;25;0.004490;0.067005
./wordspaces/text8_10200000_cbow_context-14.bin;gram4-superlative;1122;646;420;56;0.009756;0.098774
./wordspaces/text8_10200000_cbow_context-14.bin;gram5-present-participle;1056;961;0;95;0.008680;0.093165
./wordspaces/text8_10200000_cbow_context-14.bin;gram6-nationality-adjective;1599;1502;78;19;0.004977;0.070549
./wordspaces/text8_10200000_cbow_context-14.bin;gram7-past-tense;1560;1359;78;123;0.008870;0.094179
./wordspaces/text8_10200000_cbow_context-14.bin;gram8-plural;1332;1164;142;26;0.006849;0.082759
./wordspaces/text8_10200000_cbow_context-14.bin;gram9-plural-verbs;870;794;0;76;0.010086;0.100431
./wordspaces/text8_10200000_cbow_context-14.bin;TOTAL;19544;14189;4098;1257;0.007240;0.085087
./wordspaces/text8_10200000_skip-gram_context-14.bin;capital-common-countries;506;506;0;0;0.000180;0.013429
./wordspaces/text8_10200000_skip-gram_context-14.bin;capital-world;4524;2450;2049;25;0.002395;0.048937
./wordspaces/text8_10200000_skip-gram_context-14.bin;currency;866;251;528;87;0.015216;0.123353
./wordspaces/text8_10200000_skip-gram_context-14.bin;city-in-state;2467;1942;403;122;0.003236;0.056885
./wordspaces/text8_10200000_skip-gram_context-14.bin;family;506;365;126;15;0.006220;0.078867
./wordspaces/text8_10200000_skip-gram_context-14.bin;gram1-adjective-to-adverb;992;740;62;190;0.008421;0.091768
./wordspaces/text8_10200000_skip-gram_context-14.bin;gram2-opposite;812;371;212;229;0.011425;0.106886
./wordspaces/text8_10200000_skip-gram_context-14.bin;gram3-comparative;1332;1221;0;111;0.005004;0.070740
./wordspaces/text8_10200000_skip-gram_context-14.bin;gram4-superlative;1122;635;420;67;0.011339;0.106485
./wordspaces/text8_10200000_skip-gram_context-14.bin;gram5-present-participle;1056;934;0;122;0.009113;0.095460
./wordspaces/text8_10200000_skip-gram_context-14.bin;gram6-nationality-adjective;1599;1515;78;6;0.003019;0.054945
./wordspaces/text8_10200000_skip-gram_context-14.bin;gram7-past-tense;1560;1339;78;143;0.007512;0.086672
./wordspaces/text8_10200000_skip-gram_context-14.bin;gram8-plural;1332;1159;142;31;0.004978;0.070553
./wordspaces/text8_10200000_skip-gram_context-14.bin;gram9-plural-verbs;870;759;0;111;0.008670;0.093115
./wordspaces/text8_10200000_skip-gram_context-14.bin;TOTAL;19544;14187;4098;1259;0.005470;0.073961
./wordspaces/text8_10200000_cbow_context-16.bin;capital-common-countries;506;506;0;0;0.001492;0.038620
./wordspaces/text8_10200000_cbow_context-16.bin;capital-world;4524;2449;2049;26;0.003824;0.061841
./wordspaces/text8_10200000_cbow_context-16.bin;currency;866;242;528;96;0.019106;0.138225
./wordspaces/text8_10200000_cbow_context-16.bin;city-in-state;2467;1889;403;175;0.006594;0.081201
./wordspaces/text8_10200000_cbow_context-16.bin;family;506;356;126;24;0.003590;0.059919
./wordspaces/text8_10200000_cbow_context-16.bin;gram1-adjective-to-adverb;992;664;62;266;0.014879;0.121980
./wordspaces/text8_10200000_cbow_context-16.bin;gram2-opposite;812;400;212;200;0.014944;0.122246
./wordspaces/text8_10200000_cbow_context-16.bin;gram3-comparative;1332;1311;0;21;0.005191;0.072047
./wordspaces/text8_10200000_cbow_context-16.bin;gram4-superlative;1122;660;420;42;0.009140;0.095602
./wordspaces/text8_10200000_cbow_context-16.bin;gram5-present-participle;1056;997;0;59;0.007918;0.088982
./wordspaces/text8_10200000_cbow_context-16.bin;gram6-nationality-adjective;1599;1512;78;9;0.004611;0.067906
./wordspaces/text8_10200000_cbow_context-16.bin;gram7-past-tense;1560;1373;78;109;0.009558;0.097767
./wordspaces/text8_10200000_cbow_context-16.bin;gram8-plural;1332;1179;142;11;0.005420;0.073620
./wordspaces/text8_10200000_cbow_context-16.bin;gram9-plural-verbs;870;778;0;92;0.009798;0.098986
./wordspaces/text8_10200000_cbow_context-16.bin;TOTAL;19544;14316;4098;1130;0.006928;0.083232
./wordspaces/text8_10200000_skip-gram_context-16.bin;capital-common-countries;506;506;0;0;0.000156;0.012494
./wordspaces/text8_10200000_skip-gram_context-16.bin;capital-world;4524;2454;2049;21;0.002182;0.046709
./wordspaces/text8_10200000_skip-gram_context-16.bin;currency;866;253;528;85;0.015012;0.122523
./wordspaces/text8_10200000_skip-gram_context-16.bin;city-in-state;2467;1966;403;98;0.003268;0.057165
./wordspaces/text8_10200000_skip-gram_context-16.bin;family;506;363;126;17;0.006490;0.080563
./wordspaces/text8_10200000_skip-gram_context-16.bin;gram1-adjective-to-adverb;992;719;62;211;0.009519;0.097567
./wordspaces/text8_10200000_skip-gram_context-16.bin;gram2-opposite;812;347;212;253;0.012396;0.111338
./wordspaces/text8_10200000_skip-gram_context-16.bin;gram3-comparative;1332;1215;0;117;0.005817;0.076269
./wordspaces/text8_10200000_skip-gram_context-16.bin;gram4-superlative;1122;636;420;66;0.012090;0.109954
./wordspaces/text8_10200000_skip-gram_context-16.bin;gram5-present-participle;1056;920;0;136;0.008773;0.093663
./wordspaces/text8_10200000_skip-gram_context-16.bin;gram6-nationality-adjective;1599;1514;78;7;0.003411;0.058400
./wordspaces/text8_10200000_skip-gram_context-16.bin;gram7-past-tense;1560;1330;78;152;0.006921;0.083190
./wordspaces/text8_10200000_skip-gram_context-16.bin;gram8-plural;1332;1158;142;32;0.004681;0.068420
./wordspaces/text8_10200000_skip-gram_context-16.bin;gram9-plural-verbs;870;775;0;95;0.009838;0.099188
./wordspaces/text8_10200000_skip-gram_context-16.bin;TOTAL;19544;14156;4098;1290;0.005609;0.074892
./wordspaces/text8_10200000_cbow_context-18.bin;capital-common-countries;506;506;0;0;0.001793;0.042343
./wordspaces/text8_10200000_cbow_context-18.bin;capital-world;4524;2452;2049;23;0.004566;0.067575
./wordspaces/text8_10200000_cbow_context-18.bin;currency;866;223;528;115;0.018181;0.134835
./wordspaces/text8_10200000_cbow_context-18.bin;city-in-state;2467;1880;403;184;0.007770;0.088145
./wordspaces/text8_10200000_cbow_context-18.bin;family;506;360;126;20;0.003635;0.060288
./wordspaces/text8_10200000_cbow_context-18.bin;gram1-adjective-to-adverb;992;649;62;281;0.013789;0.117425
./wordspaces/text8_10200000_cbow_context-18.bin;gram2-opposite;812;379;212;221;0.014211;0.119212
./wordspaces/text8_10200000_cbow_context-18.bin;gram3-comparative;1332;1312;0;20;0.004840;0.069572
./wordspaces/text8_10200000_cbow_context-18.bin;gram4-superlative;1122;650;420;52;0.010614;0.103026
./wordspaces/text8_10200000_cbow_context-18.bin;gram5-present-participle;1056;948;0;108;0.007615;0.087266
./wordspaces/text8_10200000_cbow_context-18.bin;gram6-nationality-adjective;1599;1490;78;31;0.003264;0.057128
./wordspaces/text8_10200000_cbow_context-18.bin;gram7-past-tense;1560;1355;78;127;0.009549;0.097720
./wordspaces/text8_10200000_cbow_context-18.bin;gram8-plural;1332;1160;142;30;0.005425;0.073654
./wordspaces/text8_10200000_cbow_context-18.bin;gram9-plural-verbs;870;757;0;113;0.009064;0.095203
./wordspaces/text8_10200000_cbow_context-18.bin;TOTAL;19544;14121;4098;1325;0.006928;0.083236
./wordspaces/text8_10200000_skip-gram_context-18.bin;capital-common-countries;506;506;0;0;0.000273;0.016537
./wordspaces/text8_10200000_skip-gram_context-18.bin;capital-world;4524;2461;2049;14;0.002452;0.049516
./wordspaces/text8_10200000_skip-gram_context-18.bin;currency;866;241;528;97;0.015355;0.123917
./wordspaces/text8_10200000_skip-gram_context-18.bin;city-in-state;2467;1968;403;96;0.003184;0.056426
./wordspaces/text8_10200000_skip-gram_context-18.bin;family;506;367;126;13;0.007653;0.087481
./wordspaces/text8_10200000_skip-gram_context-18.bin;gram1-adjective-to-adverb;992;702;62;228;0.010486;0.102403
./wordspaces/text8_10200000_skip-gram_context-18.bin;gram2-opposite;812;369;212;231;0.012790;0.113094
